trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
602,False,"{'e': 0.0024296695950245953, 'a': 0.4}",20,13,10.963960318597886,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'e': 0.0024054939786195095, 'a': 0.4}",20,6,20.876380792541806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'e': 0.0023815589136168707, 'a': 0.4}",20,0,29.215638047546914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
605,False,"{'e': 0.002357862006490233, 'a': 0.4}",25,13,19.609411116262805,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'e': 0.002334400887529133, 'a': 0.4}",25,12,25.88364356541613,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'e': 0.002311173210602129, 'a': 0.4}",25,12,21.435321190549065,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'e': 0.0022881766529221693, 'a': 0.4}",20,14,10.652408202622539,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'e': 0.002265408914814322, 'a': 0.4}",20,0,19.928879458559248,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
610,False,"{'e': 0.002242867719485801, 'a': 0.4}",20,13,13.860812646231174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'e': 0.002220550812798294, 'a': 0.4}",25,20,8.172839308898011,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'e': 0.0021984559630425313, 'a': 0.4}",20,3,27.274111031904894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'e': 0.0021765809607151255, 'a': 0.4}",30,20,17.142991144813585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
614,False,"{'e': 0.002154923618297613, 'a': 0.4}",20,6,27.861825688304876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'e': 0.002133481770037708, 'a': 0.4}",25,14,19.894930762046034,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'e': 0.002112253271732714, 'a': 0.4}",25,19,14.317095739504433,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'e': 0.0020912360005151103, 'a': 0.4}",20,9,19.971689537787427,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'e': 0.0020704278546402606, 'a': 0.4}",20,14,13.222380083641259,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'e': 0.002049826753276235, 'a': 0.4}",25,12,-18.54033789724999,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
620,False,"{'e': 0.002029430636295734, 'a': 0.4}",25,8,27.04521643733767,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'e': 0.0020092374640700602, 'a': 0.4}",20,5,23.1670303177342,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'e': 0.0019892452172651635, 'a': 0.4}",20,6,19.7342051572934,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'e': 0.0019694518966397014, 'a': 0.4}",25,15,17.973606309524307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'e': 0.0019498555228451206, 'a': 0.4}",25,20,10.018909077899435,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'e': 0.0019304541362277093, 'a': 0.4}",20,6,24.493182140015918,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'e': 0.0019112457966326377, 'a': 0.4}",20,2,28.79130462244233,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'e': 0.001892228583209938, 'a': 0.4}",20,6,20.82554447798939,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'e': 0.0018734005942224233, 'a': 0.4}",20,7,21.263130065151667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'e': 0.0018547599468555032, 'a': 0.4}",20,16,8.947603697566517,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'e': 0.0018363047770289071, 'a': 0.4}",25,3,32.86171536056215,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'e': 0.0018180332392102713, 'a': 0.4}",20,16,6.993927940290058,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'e': 0.0017999435062305911, 'a': 0.4}",30,20,18.733420015544063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'e': 0.0017820337691014916, 'a': 0.4}",35,25,17.56118384969005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'e': 0.0017643022368343355, 'a': 0.4}",25,7,31.32992683179092,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'e': 0.0017467471362611182, 'a': 0.4}",25,18,10.482781279837276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'e': 0.0017293667118571557, 'a': 0.4}",20,16,8.768987631165391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'e': 0.0017121592255655228, 'a': 0.4}",20,8,17.182789252142474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'e': 0.0016951229566232505, 'a': 0.4}",30,19,20.308494461676524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'e': 0.0016782562013892464, 'a': 0.4}",30,13,25.298866356016802,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'e': 0.001661557273173934, 'a': 0.4}",25,14,19.5267847537817,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'e': 0.0016450245020705747, 'a': 0.4}",25,18,10.975525025187338,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'e': 0.0016286562347882806, 'a': 0.4}",20,12,15.861342900018027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'e': 0.0016124508344866836, 'a': 0.4}",20,6,24.08445947252797,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'e': 0.0015964066806122474, 'a': 0.4}",20,8,23.237468074820114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'e': 0.001580522168736217, 'a': 0.4}",20,6,26.066768241497435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'e': 0.0015647957103941666, 'a': 0.4}",25,12,21.79144413901817,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'e': 0.0015492257329271562, 'a': 0.4}",25,10,24.16758898701813,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'e': 0.001533810679324463, 'a': 0.4}",25,18,13.594435433720209,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'e': 0.0015185490080678835, 'a': 0.4}",20,2,28.033241664939833,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'e': 0.0015034391929775724, 'a': 0.4}",25,14,22.958100198903264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'e': 0.0014884797230594294, 'a': 0.4}",20,15,9.443304766765515,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'e': 0.0014736691023539948, 'a': 0.4}",35,21,28.00310848921677,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'e': 0.0014590058497868585, 'a': 0.4}",20,3,27.297720701197523,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'e': 0.0014444884990205433, 'a': 0.4}",20,0,29.25838245933391,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
655,False,"{'e': 0.0014301155983078744, 'a': 0.4}",20,3,26.26191838259532,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'e': 0.0014158857103468022, 'a': 0.4}",20,13,13.066221375050937,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'e': 0.0014017974121366744, 'a': 0.4}",25,14,23.442374196849197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'e': 0.001387849294835929, 'a': 0.4}",20,12,14.455764288811492,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'e': 0.0013740399636212118, 'a': 0.4}",20,14,11.701382173828815,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
